,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O18,T10,0.8677099849,0.2146079659,0.0203336648,0.1136392265,0.0343877071,0.0934016624,Genuine
O19,T10,0.9282530363,0.0318235048,0.0019444089,0.2582248343,0.0403837075,0.06124587,Genuine
O20,T10,0.8418738277,0.0725045174,0.0066439835,0.2639223333,0.0416823698,0.0641892221,Genuine
O1,F1,0.9514026863,0.0160218263,0.0027416569,0.3895431593,0.0735958019,0.1169346287,Posed
O2,F1,0.9592853214,0.0293726461,0.004002221,0.3306811516,0.0747430936,0.1165031587,Posed
O3,F1,0.9559899183,0.0187946815,0.0022868324,0.4182344273,0.0747817909,0.1175029109,Posed
O4,F1,0.9763394855,0.0158524505,0.002902406,0.3863379735,0.0737310734,0.1169457981,Posed
O5,F1,0.9828456404,0.0087909736,0.0014419085,0.3338296047,0.0745815498,0.1165834963,Posed
O6,F1,0.7334643853,0.3583684789,0.0440051777,0.3162521684,0.0563682705,0.13396627,Posed
O7,F1,0.9561152025,0.0494066518,0.007574861,0.0707471977,0.0737796775,0.116947686,Posed
O8,F1,0.918879798,0.0451744665,0.0091744717,0.377358766,0.0736166368,0.116684143,Posed
O9,F1,0.7984311688,0.3451075958,0.0238457518,0.181755944,0.0646683617,0.1371385246,Posed
O10,F1,0.906398773,0.0482005828,0.0075978681,0.2917915307,0.0751610326,0.1201955102,Posed
O11,F1,0.9410717869,0.0361550965,0.0090053979,0.2746441492,0.0755354886,0.1183031458,Posed
O12,F1,0.9690865507,0.0190183743,0.0024147701,0.3243300379,0.0745989165,0.1166126834,Posed
O13,F1,0.9794608412,0.0080616811,0.0017919143,0.3144034491,0.0742262871,0.1165143134,Posed
O14,F1,0.8251493417,0.3062520504,0.0416871828,0.2403908516,0.0681674666,0.1440669888,Posed
O15,F1,0.856326406,0.2207682238,0.0124859063,0.0990144904,0.0125929336,0.0936436504,Posed
O16,F1,0.9817422399,0.0120644867,0.0016664682,0.3204421245,0.0744372672,0.1166146587,Posed
O17,F1,0.9642877431,0.067407014,0.0107523258,0.0843723904,0.0837799794,0.1289338487,Posed
O18,F1,0.9366707215,0.0213609319,0.0035039725,0.32079651,0.0752337351,0.1173411999,Posed
O19,F1,0.741810062,0.3068547848,0.0429670787,0.2999412845,0.061131246,0.1332759426,Posed
O20,F1,0.9274369692,0.049421103,0.0073761479,0.3422946656,0.0734593425,0.1185932147,Posed
O1,F2,0.9033324035,0.0594472697,0.0025775662,0.2525400169,0.0293693876,0.1074226889,Posed
O2,F2,0.8878956126,0.0946623096,0.0025634269,0.2417217879,0.0124813655,0.0843069724,Posed
O3,F2,0.8817834277,0.0628935967,0.0025263683,0.3109624533,0.0276132896,0.1066361475,Posed
O4,F2,0.8999507047,0.0357773613,0.0019865684,0.2448447147,0.0290264577,0.1069013157,Posed
O5,F2,0.9719296704,0.0175240379,0.0014326828,0.3214625766,0.0307964971,0.1069680643,Posed
O6,F2,0.9535656898,0.0332420501,0.0038420634,0.2135328431,0.0317879096,0.1094153162,Posed
O7,F2,0.8948326924,0.1668472088,0.0243320911,0.1271168073,0.0485161894,0.1963203412,Posed
O8,F2,0.9205279125,0.0440986216,0.0049650954,0.2895282774,0.0295032041,0.1088036078,Posed
O9,F2,0.8299630099,0.1745660969,0.0148376918,0.128366308,0.0305877569,0.1134306173,Posed
O10,F2,0.9520466464,0.0262843643,0.003188926,0.3084257312,0.0307945307,0.1098477638,Posed
O11,F2,0.7788907401,0.0917523446,0.0132358224,0.2294675206,0.0187300131,0.1257647072,Posed
O12,F2,0.9117431592,0.0481342296,0.0024352202,0.2561003543,0.0295206761,0.1073613446,Posed
O13,F2,0.8304102011,0.2129759904,0.018628828,0.1106862407,0.0267180252,0.1378610048,Posed
O14,F2,0.8548078682,0.2251436769,0.0185636686,0.1088960942,0.0416915527,0.145143084,Posed
O15,F2,0.8371990761,0.2922126589,0.0197579341,0.1346270886,0.024908807,0.1097427496,Posed
O16,F2,0.8157420303,0.2832583323,0.026750584,0.1799399201,0.0273842508,0.1278183371,Posed
O17,F2,0.846287634,0.2001649917,0.0194581593,0.0989317145,0.0261499233,0.1202771711,Posed
O18,F2,0.9167167212,0.0444227698,0.00393591,0.2878989804,0.0304902854,0.1120646614,Posed
O19,F2,0.7988886245,0.2597495525,0.0188381871,0.1468455435,0.0396728548,0.1356316883,Posed
O20,F2,0.8742501447,0.0762054696,0.0074349931,0.0812664831,0.0283063705,0.1074052338,Posed
O1,F3,0.9354592603,0.0430710625,0.0038441687,0.3089342869,0.0306779895,0.1300320335,Posed
O2,F3,0.8823054077,0.0734378345,0.0040156809,0.2355587404,0.030583154,0.1324076538,Posed
O3,F3,0.9232659293,0.0336718552,0.0039017991,0.2575382521,0.0318191906,0.1353747169,Posed
O4,F3,0.8707357829,0.0706150401,0.0028533478,0.3504041601,0.0305970526,0.1356176244,Posed
O5,F3,0.9378625834,0.0328177794,0.0024863491,0.2908089788,0.0311257461,0.1350699825,Posed
O6,F3,0.960144519,0.0191978106,0.002511137,0.2699237626,0.0321746158,0.1342105035,Posed
O7,F3,0.9148417099,0.1494236174,0.0175268317,0.082703608,0.0455240515,0.1934945093,Posed
O8,F3,0.8207160301,0.2383393363,0.0229563964,0.1440042419,0.0438005289,0.2088563757,Posed
O9,F3,0.8483129529,0.0636078335,0.0067828453,0.2228849398,0.0329320576,0.1472199121,Posed
O10,F3,0.962947006,0.0180183267,0.0026396747,0.2619223617,0.0327180371,0.1351097644,Posed
O11,F3,0.7986575271,0.1099862643,0.0206192993,0.283334869,0.0343727934,0.1921211686,Posed
O12,F3,0.9482024859,0.030074148,0.0019057394,0.3106449119,0.0316382404,0.1353020478,Posed
O13,F3,0.7982156107,0.2350878729,0.0192657259,0.1416347668,0.0277023543,0.152026646,Posed
O14,F3,0.8094404184,0.2651247237,0.0202385329,0.158711417,0.0278416435,0.1925338952,Posed
O15,F3,0.8527547646,0.1753058672,0.0201839266,0.0851719084,0.0420643875,0.1944726591,Posed
O16,F3,0.8004729615,0.3026254839,0.022848225,0.1623669134,0.0287795914,0.1731599191,Posed
O17,F3,0.9252604064,0.047585344,0.0039458454,0.2069038917,0.0318083682,0.1366032889,Posed
O18,F3,0.941119342,0.0286834874,0.0034687095,0.3159910442,0.0310371611,0.1319804845,Posed
O19,F3,0.9730039633,0.0183718975,0.001901724,0.3385511572,0.0325126993,0.135605066,Posed
O20,F3,0.9209087312,0.048797319,0.0042917124,0.3124696161,0.0308710003,0.135210951,Posed
O1,F4,0.8744448379,0.1828664569,0.0162932587,0.0908630711,0.0340767844,0.1444373675,Posed
O2,F4,0.8657153498,0.0649700973,0.0031324569,0.3145779605,0.0290504579,0.1664339132,Posed
O3,F4,0.8268829658,0.1909745307,0.0152455985,0.0811214292,0.0302961873,0.1242890228,Posed
O4,F4,0.864079832,0.0831933382,0.0024126943,0.2291784195,0.0279504416,0.1656701301,Posed
O5,F4,0.9317962431,0.0295056604,0.0015317944,0.2736455328,0.0171634159,0.1354695795,Posed
O6,F4,0.9575455729,0.0205011998,0.0022836598,0.2547337081,0.029708307,0.1692057053,Posed
O7,F4,0.9309695809,0.0884976169,0.0070860898,0.0382241546,0.0330570394,0.1804960619,Posed
O8,F4,0.818169479,0.2149627534,0.0162886195,0.124119676,0.034580749,0.1902621181,Posed
O9,F4,0.8869106129,0.0462128493,0.0057969891,0.2535896627,0.0299007797,0.1647436639,Posed
O10,F4,0.9489031918,0.0311903072,0.0026905538,0.3688126037,0.0290055451,0.1638750906,Posed
O11,F4,0.8596953211,0.0895113265,0.0124726016,0.2112277399,0.0344632758,0.2130045573,Posed
O12,F4,0.9303299923,0.0399695418,0.0024229535,0.3200796469,0.0293989959,0.1698214521,Posed
O13,F4,0.8700909653,0.0616717393,0.0021977137,0.3187877451,0.0287270761,0.1652207054,Posed
O14,F4,0.9039786607,0.168165659,0.0085658058,0.0593031427,0.0298607626,0.1674581804,Posed
O15,F4,0.891487088,0.1598898639,0.0144781144,0.0653360076,0.0244727293,0.1041177618,Posed
O16,F4,0.8962258353,0.1416899225,0.0080829633,0.0564062976,0.0295039604,0.1661234215,Posed
O17,F4,0.8970113479,0.0661292744,0.0025844463,0.2238533635,0.0282632517,0.1645875622,Posed
O18,F4,0.8549329998,0.2084744273,0.0215493332,0.1362960622,0.0269509935,0.1562390038,Posed
O19,F4,0.8193843729,0.2143455424,0.0152647221,0.1044618977,0.023449969,0.1442133523,Posed
O20,F4,0.8722151472,0.0763204398,0.00496742,0.3192039188,0.0285043487,0.170272521,Posed
O1,F5,0.8601057485,0.1618804374,0.0106061623,0.0785980667,0.0117691077,0.0771463097,Posed
O2,F5,0.8878956126,0.0946623096,0.0025634269,0.2417217879,0.0124813655,0.0843069724,Posed
O3,F5,0.8987306063,0.0893655629,0.0023593031,0.2532115651,0.0123875474,0.0809654069,Posed
O4,F5,0.7872991602,0.2525423859,0.0068949554,0.0548355328,0.0103253327,0.0803299391,Posed
O5,F5,0.9572933614,0.0266074452,0.001527014,0.271119248,0.0140688371,0.0811561177,Posed
O6,F5,0.9535656898,0.0332420501,0.0038420634,0.2135328431,0.0317879096,0.1094153162,Posed
O7,F5,0.8908053294,0.1940505023,0.0213935054,0.0983030892,0.0150455337,0.0844541223,Posed
O8,F5,0.8966852796,0.0579213123,0.0045066052,0.288793427,0.0141185109,0.0840150279,Posed
O9,F5,0.8833032047,0.0647678848,0.0036033737,0.2032432449,0.0139655615,0.0849687357,Posed
O10,F5,0.876276319,0.1372935236,0.0068821016,0.0559990319,0.0135933362,0.0837580803,Posed
O11,F5,0.7788907401,0.0917523446,0.0132358224,0.2294675206,0.0187300131,0.1257647072,Posed
O12,F5,0.8915380181,0.073164346,0.0022020558,0.2900722521,0.0129974114,0.0840063201,Posed
O13,F5,0.8327437677,0.2069638355,0.0126763914,0.0905305216,0.0227471177,0.1200792413,Posed
O14,F5,0.8829864445,0.0725216396,0.0017621454,0.2595424328,0.0126391358,0.0808884736,Posed
O15,F5,0.856326406,0.2207682238,0.0124859063,0.0990144904,0.0125929336,0.0936436504,Posed
O16,F5,0.8519572302,0.2292510314,0.0139455624,0.09587543,0.0227346223,0.1490109887,Posed
O17,F5,0.8826102672,0.1307590263,0.0102499168,0.0562126041,0.0212306084,0.1046500428,Posed
O18,F5,0.923300412,0.046584485,0.0026463365,0.2974264825,0.0141325459,0.083027719,Posed
O19,F5,0.9021564483,0.1888804502,0.0133804693,0.0854762735,0.0242227938,0.1459118913,Posed
O20,F5,0.9063376307,0.0727095205,0.0035645778,0.2812730055,0.0125590646,0.0846368564,Posed
O1,F6,0.9415162651,0.040117588,0.0024138195,0.2220435788,0.0174827269,0.1345421586,Posed
O2,F6,0.9234100439,0.0696305592,0.0035764404,0.2421097396,0.0163269941,0.1324877361,Posed
O3,F6,0.9053553632,0.0573416704,0.0023082948,0.2838889589,0.0169289862,0.1368603992,Posed
O4,F6,0.7673566895,0.2652033538,0.0161973114,0.1314920079,0.015357443,0.1156344416,Posed
O5,F6,0.9317962431,0.0295056604,0.0015317944,0.2736455328,0.0171634159,0.1354695795,Posed
O6,F6,0.9693749663,0.0172669343,0.0026592128,0.2752114772,0.0184150906,0.1424315533,Posed
O7,F6,0.8901501382,0.1589988317,0.0209831568,0.1216609683,0.0229750093,0.1426278206,Posed
O8,F6,0.8544494378,0.1335449622,0.0174544695,0.136653067,0.0278099121,0.1968344481,Posed
O9,F6,0.8901675213,0.0728481051,0.0025327228,0.220855097,0.0168945735,0.1375228305,Posed
O10,F6,0.9482101276,0.0313391189,0.0018160056,0.29111996,0.0168905571,0.1341485229,Posed
O11,F6,0.8504387049,0.0558032915,0.0056575626,0.2449857896,0.0184948167,0.1517020961,Posed
O12,F6,0.9259159882,0.0520869573,0.0025009237,0.3218740396,0.0167711858,0.1374932421,Posed
O13,F6,0.9666323657,0.0148031471,0.0016764979,0.2344188727,0.0177345651,0.1385832337,Posed
O14,F6,0.8176953635,0.241984446,0.0159028617,0.1247344712,0.0171883358,0.1158967107,Posed
O15,F6,0.8464947534,0.1574349144,0.0126273098,0.0611875936,0.0266967211,0.0914219695,Posed
O16,F6,0.8273223261,0.2696688565,0.0146840947,0.1030399136,0.0131403224,0.0995589455,Posed
O17,F6,0.8813025251,0.1423804079,0.0137521572,0.0711582791,0.0285060934,0.1222732094,Posed
O18,F6,0.8632145627,0.1967992872,0.0186796019,0.0961580058,0.0281593919,0.1533971097,Posed
O19,F6,0.907202687,0.0766474595,0.0023956569,0.2449173748,0.0164898686,0.1364479954,Posed
O20,F6,0.8962271022,0.0608830656,0.00429271,0.3009194223,0.0180275147,0.1434877153,Posed
O1,F7,0.8345355041,0.1843976139,0.0164438212,0.1181971413,0.0149005376,0.1053643084,Posed
O2,F7,0.9152562701,0.0641479623,0.0031001643,0.270754907,0.0151665929,0.1083142646,Posed
O3,F7,0.9102223853,0.0678128191,0.0023074898,0.2269741064,0.0152351764,0.1108858736,Posed
O4,F7,0.842180938,0.1101966308,0.0087968692,0.0504315571,0.0157369659,0.112651036,Posed
O5,F7,0.9529269567,0.040933905,0.0017908011,0.2552188966,0.015331322,0.1066290502,Posed
O6,F7,0.9582177107,0.0185786378,0.0018977939,0.2864026514,0.0160121748,0.1139750532,Posed
O7,F7,0.9530095825,0.030679023,0.0019128608,0.2857097461,0.0156335127,0.1084229347,Posed
O8,F7,0.8353047443,0.1978865639,0.0210400818,0.1075677371,0.0227554693,0.156377382,Posed
O9,F7,0.8901675213,0.0728481051,0.0025327228,0.220855097,0.0151714316,0.1100501259,Posed
O10,F7,0.9556411156,0.0212626126,0.0030737669,0.328286533,0.0158514092,0.1122603788,Posed
O11,F7,0.8694240784,0.0639801948,0.0043852684,0.243744382,0.0160109296,0.1222593512,Posed
O12,F7,0.926586426,0.0359857881,0.0022879466,0.2845372326,0.0158377354,0.109555827,Posed
O13,F7,0.8443840567,0.0909829915,0.0029338863,0.0504117007,0.0165490025,0.1097794676,Posed
O14,F7,0.8482343484,0.234092063,0.0156363542,0.1150532252,0.0143283246,0.0997986249,Posed
O15,F7,0.882729146,0.173971521,0.0089811144,0.0496950563,0.0152849963,0.1069913189,Posed
O16,F7,0.8265391981,0.2556353208,0.0157127896,0.1090241482,0.0132878215,0.0949296946,Posed
O17,F7,0.8902761696,0.1596341318,0.0149151457,0.0781718924,0.0251696279,0.1516294944,Posed
O18,F7,0.9283294114,0.0453223619,0.0028410036,0.2193803476,0.0164019435,0.1136418342,Posed
O19,F7,0.8608982191,0.2164107612,0.0231038293,0.0966272019,0.0305658707,0.1579662122,Posed
O20,F7,0.8344849223,0.2065176787,0.0169254861,0.1022258496,0.0157957062,0.1083014345,Posed
O1,F8,0.9419239008,0.0271932775,0.0027497127,0.3464849018,0.0604986511,0.1040596928,Posed
O2,F8,0.836780332,0.175622698,0.0238554535,0.1275157131,0.06908298,0.1332314569,Posed
O3,F8,0.9097602426,0.0476592267,0.002973828,0.2809648387,0.0586218847,0.1043034211,Posed
O4,F8,0.9411515944,0.02450619,0.0028256725,0.3789678561,0.0595801004,0.1043192619,Posed
O5,F8,0.9759820883,0.0079865,0.0015796575,0.3477027272,0.0605965372,0.1030261793,Posed
O6,F8,0.9345879923,0.0960908563,0.011363855,0.1610030695,0.0535067703,0.1102697072,Posed
O7,F8,0.9175697093,0.1256486769,0.0143975128,0.1057968991,0.0736021796,0.1291938114,Posed
O8,F8,0.9169849805,0.0404673503,0.0058600748,0.3668747621,0.0633519801,0.105446222,Posed
O9,F8,0.8944396798,0.0390663746,0.0039125011,0.329075763,0.0603617266,0.1046467196,Posed
O10,F8,0.947060285,0.0286528371,0.0039834429,0.2624449177,0.0616011239,0.1045485963,Posed
O11,F8,0.5828850132,0.1890463861,0.0419893426,0.2780967439,0.0562858562,0.1421729189,Posed
O12,F8,0.9745540268,0.0083633409,0.0014220188,0.3396848225,0.0613808648,0.1041913841,Posed
O13,F8,0.9763929319,0.0118355858,0.0014351468,0.2786084446,0.0608299493,0.1042577674,Posed
O14,F8,0.9590738298,0.0228513599,0.001517119,0.3353539341,0.0580683172,0.1037675956,Posed
O15,F8,0.8183882771,0.2379509248,0.0260969588,0.1391383986,0.0480435971,0.1275000132,Posed
O16,F8,0.7900072728,0.281414765,0.0223090781,0.1197207516,0.0375476047,0.116925208,Posed
O17,F8,0.9151419973,0.0414043479,0.0029384245,0.2900376602,0.0616318112,0.1047026532,Posed
O18,F8,0.9364434639,0.0337459781,0.0027976101,0.289029729,0.0621400284,0.1046786552,Posed
O19,F8,0.9541873086,0.0202279838,0.0019701986,0.30359776,0.0592521658,0.1040018926,Posed
O20,F8,0.813135329,0.2599277012,0.028249364,0.1810842346,0.056961044,0.1525320335,Posed
O1,F9,0.9348766252,0.05090538,0.0022587367,0.245132349,0.0183699058,0.0904810272,Posed
O2,F9,0.8850884849,0.0789664189,0.003227505,0.2629551236,0.0173629775,0.0871468225,Posed
O3,F9,0.8936545704,0.0837253133,0.0024143709,0.2763017594,0.0172072533,0.0868853733,Posed
O4,F9,0.8143403839,0.144561968,0.0126839988,0.078778119,0.02685633,0.1373045121,Posed
O5,F9,0.983422107,0.009875166,0.0010813843,0.3139687626,0.0194551392,0.0852672209,Posed
O6,F9,0.9772474771,0.0138942264,0.0020031555,0.2504770084,0.0193229973,0.089013004,Posed
O7,F9,0.9499793156,0.0302375361,0.0022567221,0.2492438433,0.0188723946,0.087518321,Posed
O8,F9,0.876350345,0.0464937096,0.0048831609,0.2916876088,0.0206194376,0.0957863082,Posed
O9,F9,0.8601228647,0.1912419713,0.0151991979,0.0924005868,0.0263887586,0.1254086948,Posed
O10,F9,0.939717662,0.0426860875,0.0027722578,0.2164181764,0.0179609998,0.0855381855,Posed
O11,F9,0.8901672341,0.059979782,0.0066520669,0.2037190846,0.0199022553,0.1089342451,Posed
O12,F9,0.9185797865,0.0315595173,0.0018632999,0.2532419074,0.0188374218,0.0865059959,Posed
O13,F9,0.8738195377,0.066116217,0.0020756417,0.3359269261,0.0173276533,0.0871114724,Posed
O14,F9,0.907787117,0.0709039386,0.0016412963,0.3025536576,0.0171085045,0.0853108936,Posed
O15,F9,0.8464947534,0.1574349144,0.0126273098,0.0611875936,0.0266967211,0.0914219695,Posed
O16,F9,0.8928974776,0.0515212194,0.0018126205,0.2599279028,0.0179760676,0.0852593495,Posed
O17,F9,0.9190597994,0.0485332727,0.0018432284,0.3141584684,0.0182672124,0.0860033095,Posed
O18,F9,0.9364882776,0.0452368637,0.0026860081,0.2519315507,0.018153416,0.0866462107,Posed
O19,F9,0.8384223358,0.2047790377,0.0140637666,0.1234189671,0.0158364063,0.128331361,Posed
O20,F9,0.9064127522,0.0624209304,0.0049306833,0.2581456116,0.0198953241,0.0959109839,Posed
O1,F10,0.904378307,0.073067742,0.0019685254,0.2555108572,0.0158307576,0.1320425888,Posed
O2,F10,0.8883864566,0.0915037065,0.0026075421,0.2342551,0.0159434709,0.1318652817,Posed
O3,F10,0.838729016,0.2129392305,0.0122125977,0.0803070017,0.0187370283,0.1133984718,Posed
O4,F10,0.8141738707,0.2187414986,0.0116048191,0.0890507763,0.0149922768,0.1220815838,Posed
O5,F10,0.9429595899,0.0394451204,0.0024102951,0.200037054,0.0177439245,0.1353060567,Posed
O6,F10,0.9087824371,0.0698395194,0.0120937945,0.1503179072,0.0212548784,0.1645341486,Posed
O7,F10,0.9090786904,0.095989921,0.0094656257,0.050263223,0.022226988,0.1415524658,Posed
O8,F10,0.8317637556,0.1568232414,0.0195427881,0.0867649222,0.024952703,0.1625842875,Posed
O9,F10,0.903728454,0.0605541809,0.0031599763,0.2194011585,0.016540501,0.137514494,Posed
O10,F10,0.9215764254,0.0375261866,0.0027725751,0.2773208511,0.0171345305,0.1386234401,Posed
O11,F10,0.8889638559,0.0626798058,0.0096268033,0.2316108503,0.0190217958,0.1723063198,Posed
O12,F10,0.8520901431,0.1961873834,0.01511233,0.0816352424,0.0215507748,0.1486888338,Posed
O13,F10,0.8533752036,0.1591432778,0.0060509802,0.0491697558,0.0155405234,0.137056474,Posed
O14,F10,0.9165992779,0.0669817654,0.0018372637,0.2731364882,0.0162420837,0.1330585444,Posed
O15,F10,0.8444862015,0.2055376005,0.0110561102,0.0875800217,0.0146682741,0.111018216,Posed
O16,F10,0.9016017072,0.0581922097,0.0021134406,0.0218508391,0.0163946652,0.135434678,Posed
O17,F10,0.809810557,0.1882579767,0.0190262677,0.0881824142,0.0169301246,0.1240316716,Posed
O18,F10,0.9324736794,0.0477234626,0.0032965818,0.3477838976,0.0168693513,0.1386716743,Posed
O19,F10,0.899767642,0.0711368205,0.0028428101,0.1718202689,0.0164119267,0.1357856948,Posed
O20,F10,0.8576618322,0.0856698799,0.0054990352,0.2822373537,0.0163316319,0.1444498798,Posed
